source;translation;type;module;status;customer
lang_code;sr;M;;T;N
lang_name;Srpski;M;;T;N
lang_english_name;Serbian;M;;T;N
lang_author;"Mihailo Jevtic - Porn-Cash.Net";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;d/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;42;M;;T;N
"Error during copy of sample banner image %s.";"Greška u toku kopiranja uzorka slike banera %s.";S;;T;N
"License";"Licenca";S;;T;N
"You have to agree license.";"Morate se složiti sa licencom.";B;;T;N
"Installation Completed";"Instalacija je završena";B;;T;N
"Safe Mode";"Siguran mod";S;;T;N
"Display Errors";"Prikazivanje grešaka";S;;T;N
"File Uploads";"Podizanje fajlova";S;;T;N
"Register Globals";"Register Globals";S;;N;N
"Session Auto Start";"Auto Start Sesija";S;;T;N
"On";"Uključeno";B;;T;N
"Off";"Isključeno";B;;T;N
"Configuration directory is writable";"Konfiguracioni direktorijum je sposoban za pisanje";S;;T;N
"Configuration directory has to be writable";"Koffiguracioni direktorijum mora da bude sposoban za pisanje (chmod)";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Molimo vas da promenite prava pisanja na writable by webserver za direktorijum %s i sve poddirektorijume.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Na unix i njima sličnim sistemima možete uneti ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"Na svakom sistemu možete promeniti (CHMOD) dozvole pisanja koristeći vaš omiljeni FTP klijent.";S;;T;N
"PHP include path";"PHP include path";S;;N;N
"Could not set PHP include path";"Nije moguće postaviti PHP include path";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Molimo vas podesite vaš PHP tako da skript može da promeni include_path.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Kao alternativa možeze ubaciti  include_path direktno u vaš php.ini. include_path=%s";S;;T;N
"MySQL extension is installed";"MySQL dodatak (ekstenzija) je instalirana";S;;T;N
"MySQL extension is not installed";"MySQL dodatak (ekstenzija) nije instalirana";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Molimo vas da omogućite  MySQL ekstenzije. Više informacija možete naći na adresi http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL verzija %s ili novija";S;;T;N
"MySQL version is less then %s";"MySQL verje starija od %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Molimo vas da instalirate MySQL verziju %s ili noviju. Trenutna verzija koju koristite je %s. Više informacija na adresi http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Molimo vas proverite sistemske zahteve i probajte ponovo";S;;T;N
"Welcome";"Dobrodošli";S;;T;N
"Error, you cannot deactivate Default campaign";"Greška, ne možete deaktivirati osnovnu kampanju";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Morate odrediti status kampanje (rstatus polje)";S;merchant;T;N
"Campaigns";"Kampanje";B;;T;N
"Overview";"Pregled";B;;T;N
"Campaigns Manager";"Manadžer kampanja";S;merchant;T;N
"Banners";"Baneri";B;merchant;T;N
"Banners Manager";"Menadžer banera";B;merchant;T;N
"Affiliates";"Partneri";B;merchant;T;N
"Affiliates Manager";"Menadžer partnera";S;merchant;T;N
"DirectLinks Urls";"Url direktnih linkova";S;merchant;T;N
