source;translation;type;module;status;customer
lang_code;fr;M;;T;N
lang_name;Français;M;;T;N
lang_english_name;French;M;;T;N
lang_author;"Touchvibes & Quality Unit";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;dd/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;51;M;;T;N
"Failed to read file %s";"La lecture du fichier %s a échouée";S;;T;N
"Rewind unsupported in this file stream";"Rebobinage non soutenu dans ce jet de dossier ##1740";S;;T;N
"File %s does not exist.";"Le dossier %s n'existe pas.";S;;T;N
"Could not read file";"Impossible de lire le fichier";S;;T;N
"Could not open file";"Impossible d'ouvrir le fichier";S;;T;N
"Could not change permissions %s";"Impossible de changer les permissions %s";S;;T;N
"Failed to read headers of CSF file %s";"La lecture des en-têtes du CSF %s a échouée";S;;T;N
"OK";"OK";B;;T;N
"Internal error";"Erreur Interne ";B;;T;N
"Error during database creation.";"Erreur pendant la création de base de données.";S;;T;N
"doesnt exist's";"n'existe pas";S;;T;N
"Could not create database. %s";"Impossible de créer la base de données. %s";S;;T;N
"Create Database";"Créer une base de données";B;;T;N
"Account is already created.";"Le compte est déjà créé.";S;;T;N
"Create Account";"Créer le compte";B;;T;N
"Gadgets saved";"Les gadgets ont été sauvegardés";S;;T;N
"Docking";"Amarrage";S;;T;N
"Gadget successfully closed";"Gadget fermé avec succès";S;;T;N
"Failed to close gadget";"La fermeture du gadget a échoué";S;;T;N
"Gadget added";"Gadget ajouté";S;;T;N
"Gadget";"Gadget";S;;T;N
"Unsupported gadget";"Gadget non supporté";S;;T;N
"File was successfully uploaded";"Le dossier a été téléchargé avec succès";S;;T;N
"File does not exist";"Le dossier n'existe pas";S;;T;N
"Quick Launch saved";"La barre de lancement rapide a été sauvegardé";S;;T;N
"Windows saved";"Fenêtre sauvegardé";S;;T;N
"Wallpaper saved.";"Papier peint sauvegardé.";S;;T;N
"Side bar saved";"La barre latérale a été sauvegardée";S;;T;N
"Failed to save wallpaper with error %s";"La sauvegarde du papier peint a échouée avec l'erreur %s";S;;T;N
"Failed to delete %s wallpaper(s)";"La suppression de %s papier(s) peint(s) a échouée";S;;T;N
"%s wallpaper(s) successfully deleted";"%s papier(s) peint(s) supprimé(s) avec succès";S;;T;N
"Theme changed";"Thème modifié";S;;T;N
"Error changing theme";"Erreur lors du changement de thème";S;;T;N
"must be unique";"doit être unique";S;;T;N
"Relation constraint";"Contrainte de relation";S;;T;N
"View name must be unique";"Le nom de vue doit être unique";S;;T;N
"Maximum length of %s in %s is %s";"La longueur maximum de %s dans %s est %s";S;;T;N
"Failed to load default mail account. Please check your mail account settings.";"Le chargement du compte par défaut a échoué. Veuillez vérifier les paramètres de votre compte mail.";S;;T;N
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Le répertoire %s n'est pas éditable par le serveur. Veuillez s'il vous plait le supprimer ou configurer des droits d'écriture correct.";S;;T;N
"Failed to delete %s filter(s)";"La suppression de %s filtre(s) a échouée";S;;T;N
"%s filter(s) successfully deleted";"%s sélection(s) supprimée(s) avec succès";S;;T;N
"Could not create account. (%s)";"Impossible de créer le compte. (%s)";S;;T;N
"Size";"Taille";S;;T;N
"Modules";"Modules";S;;T;N
"File name";"Nom du fichier";B;;T;N
"Data was successfully exported to file %s";"Les données ont été exportées vers le dossier %s avec succès ";S;;T;N
"Import file is not defined";"Le dossier d'importation n'est pas défini";S;;T;N
"Export data";"Exporter les données";B;;T;N
"Your password was changed. Go back to login dialog and login.";"Votre mot de passe a été changé. Identifiez-vous nouveau";S;;T;N
"Logout error";"Erreur lors de la déconnexion";S;;T;N
"Logout successful";"Déconnecté avec succès";S;;T;N
"Invalid password request. You have to request again new password before trying to set password.";"Demande de mot passe incorrecte. Vous devez redemander un mot de passe avant de vous identifier.";S;;T;N
"User account not approved yet";"Compte utilisateur non approuvé";S;;T;N
"File to export is not defined";"Le dossier à exporter n'est pas défini";S;;T;N
"Unsupported";"Non supporté";S;;T;N
"Within a few minutes you will receive instruction on how to reset you password.";"Vous allez recevoir un mail avec les instructions pour remettre à zéro votre mot de passe";S;;T;N
"You entered invalid username";"Vous avez indiqué un nom d'utilisateur invalide";S;;T;N
"You entered invalid security code";"Vous avez indiqué un code de sécurité invalide";S;;T;N
"User authenticated. Logging in.";"Utilisateur authentifié. Entrer.";S;;T;N
"Select account";"Choisir le compte";B;;T;N
"Authentication failed";"L'authentification a échoué";S;;T;N
"Wrong username/password";"Mauvais Nom d'utilisateur/Mot de passe";S;;T;N
"Request valid until";"Demande valide jusqu'au";S;;T;N
"Request new password";"Demander le nouveau mot de passe";B;;T;N
"Application Name";"Post Affiliate Pro";S;;T;N
"New password URL";"URL du nouveau mot de passe";S;;T;N
"Changes saved";"Les changements ont été sauvegardés";S;;T;N
"Selected commission group(s) are changed";"Le groupe de commission sélectionnés a été modifié";S;merchant;T;N
"Commision group";"Groupe de commission";S;merchant;T;N
"Commission group";"Groupe de commission ";S;;T;N
"Failed to set status selected url(s)";"Le paramétrage du statut des URL sélectionnées a échoué";S;merchant;T;N
"Status successfully set to selected url(s)";"Le statut(s) des URL sélectionnées a été paramétré avec succès";S;merchant;T;N
"AffiliatesImportExportDescription";"Affiliés Import Export Description";B;merchant;T;N
"Parent last name";"Nom du parrain";S;merchant;T;N
"Date joined";"La date jointe";B;;T;N
"Date approved";"La date a été approuvée";B;merchant;T;N
"Parent";"Parent ##1470";S;merchant;T;N
"Firstname";"Prénom";B;;T;N
"Lastname";"Nom";B;;T;N
"Parent ID";"ID parrain";S;merchant;T;N
"Parent username";"nom d'utilisateur du parrain";S;merchant;T;N
"Parent first name";"Prénom du parrain";S;merchant;T;N
"Affiliate details";"Détail sur l'affilié";B;merchant;T;N
"Payout settings saved";"Les paramètres de versement ont été sauvegardés";S;merchant;T;N
"is mandatory";"est obligatoire";B;;T;N
"You have to agree with terms & conditions";"Vous devez accepter les termes et conditions";B;;T;N
"Username must be valid email address";"Le nom d'utilisateur doit être une adresse email valide";S;;T;N
"unpaid";"Impayé ";B;;T;N
"Click data 2";"Clic data2";B;merchant;T;N
"Click data 1";"Clic data1";B;merchant;T;N
"Time";"Heure";B;;T;N
"Data 4";"Données 4";B;merchant;T;N
"Data 5";"Données 5";B;merchant;T;N
"Tracked by";"Idenditifié par ##2040";B;merchant;T;N
"Data 3";"Données 3";B;merchant;T;N
"Payout status";"Statut du paiement";B;merchant;T;N
"Transaction";"Transaction";B;;T;N
"Index size";"Taille d'index";S;merchant;T;N
"Data size";"Taille de données";S;merchant;T;N
"Total size";"Taille totale";S;merchant;T;N
"Table name";"Nom de Tableau";S;merchant;T;N
"Records";"Enregistrements";S;merchant;T;N
"Sales count";"Nombre de ventes";S;;T;N
"Impressions unique";"Affichage unique";S;;T;N
"Impressions raw";"Affichage brut";S;;T;N
"Failed to delete raw clicks";"La suppression des clics brut a échouée";S;merchant;T;N
"Raw clicks older than %s are deleted";"Les clics brut antérieurs %s ont été supprimés";S;merchant;T;N
"Clicks raw";"Clics brut";S;;T;N
"Data 2";"Données 2";B;merchant;T;N
"Data 1";"Données 1";B;merchant;T;N
"Date";"Date ";B;;T;N
"payee";"bénéficiaire";S;merchant;T;N
"Payees";"bénéficiaires";S;merchant;T;N
"Total amount";"Montant total";S;merchant;T;N
