source;translation;type;module;status;customer
lang_code;da;M;;T;N
lang_name;Dansk;M;;T;N
lang_english_name;Danish;M;;T;N
lang_author;"X-Cite ApS";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;d/MM-yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;42;M;;T;N
"Error during copy of sample banner image %s.";"Fejl ved kopi af eksempel billedebanner %s.";S;;T;N
"License";"Licens";S;;T;N
"You have to agree license.";"Du skal acceptere licensen.";B;;T;N
"Installation Completed";"Installation fuldført";B;;T;N
"Safe Mode";"Sikker tilstand";S;;T;N
"Display Errors";"Vis fejl";S;;T;N
"File Uploads";"Fil Uploads";S;;T;N
"Register Globals";"Registrer Globaler";S;;T;N
"Session Auto Start";"Session Auto Start";S;;N;N
"On";"Slået til (On)";B;;T;N
"Off";"Slået fra (Off)";B;;T;N
"Configuration directory is writable";"Konfigurationsmappe er skrivebar";S;;T;N
"Configuration directory has to be writable";"Konfigurationsmappe skal være skrivebar";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Gør venligst mappen %s og alle undermapper skrivebare på webserveren.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"På unix systemer kan du skrive ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"På ethvert system kan du indstille skriverettigheder via din favorit FTP klient.";S;;T;N
"PHP include path";"PHP include path";S;;N;N
"Could not set PHP include path";"Kunne ikke indstille ""PHP include path""";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Venligst konfigurer sin PHP sådan at scripts har mulighed for at ændre include_path.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternativt kan du sætte include_path direkte i din php.ini. include_path=%s";S;;T;N
"MySQL extension is installed";"MySQL udvidelse er installeret";S;;T;N
"MySQL extension is not installed";"MySQL udvidelse er ikke installeret";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Venligst aktiver MySQL udvidelser. Mere info http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL version er %s eller højere";S;;T;N
"MySQL version is less then %s";"MySQL version er mindre end %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Venligst installer MySQL version %s eller højere. Din nuværende version er %s. Mere info http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Venligst tjek systemkravene og prøv igen";S;;T;N
"Welcome";"Velkommen";S;;T;N
"Error, you cannot deactivate Default campaign";"Fejl, du kan ikke deaktivere standard kampagne";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Du skal specificere status for kampagne (status felt)";S;merchant;T;N
"Campaigns";"Kampagner";B;;T;N
"Overview";"Overblik";B;;T;N
"Campaigns Manager";"Kampagne Manager";S;merchant;T;N
"Banners";"Bannere";B;merchant;T;N
"Banners Manager";"Banner manager";B;merchant;T;N
"Affiliates";"Affiliates";B;merchant;N;N
"Affiliates Manager";"Affiliates Manager";S;merchant;N;N
"DirectLinks Urls";"DirekteLinks URLer";S;merchant;T;N
"Transactions";"Transaktioner";S;merchant;T;N
"Raw clicks list";"Rå kliks liste";B;merchant;T;N
"Commissions";"Kommissioner";B;;T;N
"Reports";"Rapporter";B;;T;N
"Trends report";"Trends rapport";B;;T;N
"Payouts history";"Udbetalingshistorik";B;;T;N
"Payouts by affiliate";"Udbetalinger ved affiliate";B;merchant;T;N
"Payouts";"Udbetalinger";B;merchant;T;N
"Pay affiliates";"Betal affiliates";B;merchant;T;N
"Communication";"Kommunikation";B;;T;N
"Send message";"Send besked";S;merchant;T;N
"Configuration";"Konfiguration";B;merchant;T;N
"Tracking settings";"Sporingsindstillinger";B;merchant;T;N
"Affiliate panel";"Affiliate Panel";C;merchant;N;N
"Tools";"Værktøjer";B;;T;N
"Integration";"Integration";B;merchant;N;N
"Import / Export";"Importer / Exporter";B;merchant;T;N
"Event logs";"Begivenheds logs";B;merchant;T;N
"Online users";"Online brugere";B;;T;N
"Database status";"Database status";B;;N;N
"User cannot be found";"Bruger kan ikke findes";S;affiliate;T;N
"Email was successfully sent to merchant";"Email blev succesfuldt sendt til annoncør";S;affiliate;T;N
"Email notifications saved";"Email påmindelser gemt";S;;T;N
"Banner";"Banner";B;;N;N
"none active";"Ingen aktive";S;;T;N
"per click";"pr klik";B;;T;N
"per sale";"pr salg";B;;T;N
"ID";"Id";B;;T;N
"Name";"Navn";B;;T;N
"Description";"Beskrivelse";B;;T;N
"Status";"Status";B;;N;N
"Date created";"Dato oprettet";S;;T;N
"Actions";"Handlinger";B;;T;N
"Channel";"Kanal";B;;T;N
"User";"Bruger";S;;T;N
"Channel name";"Kanal navn";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"Mønster matcher ikke med URLen, tjek dit mønster";S;affiliate;T;N
"Pattern matched the URL";"Mønstret passer med URLen";S;affiliate;T;N
"Login";"Login";B;;N;N
"First name";"Fornavn";B;;T;N
"Last name";"Efternavn";B;;T;N
"Referral ID";"Referrent ID";B;;T;N
"I agree with terms & conditions";"Jeg accepterer vilkår & betingelser";B;;T;N
"Cannot find invoice";"Kan ikke finde faktura";S;;T;N
"Affiliate";"Affiliate";B;;N;N
"Date of registration";"Registreringsdato";S;affiliate;T;N
"% in total sales";"% i totale salg";S;affiliate;T;N
"% of total sales";"% af totale salg";S;affiliate;T;N
"% of total commissions";"% af totale kommissioner";S;affiliate;T;N
"Commission";"Kommission";B;;T;N
"Total cost";"Totale omkostninger";B;;T;N
"Order ID";"Ordre ID";B;;T;N
"Product ID";"Produkt ID";B;;T;N
"Created";"Oprettet";B;;T;N
"Campaign Name";"Kampagne navn";B;;T;N
"Type";"Indskriv";B;;T;N
"Affiliate username";"Affiliate brugernavn";S;;T;N
"Paid";"betalt";B;;T;N
"Ip";"IP";S;;N;N
"Referer";"Referent";B;;T;N
"Recurring commison id";"Tilbagevendende kommison id";S;;T;N
"Payout history id";"Udbetalingsistorik id";S;;T;N
"Click count";"Klik antal";S;;T;N
"First click time";"Første klik tid";S;;T;N
"First click referer";"Første klik referer";S;;T;N
"First click ip";"Første klik ip";S;;T;N
"First click data 1";"Første klik data 1";S;;T;N
"First click data 2";"Første klik data 2";S;;T;N
"Last click time";"Sidste klik tid";S;;T;N
"Last click referer";"Sidste klik referent";S;;T;N
"Last click ip";"Sidste klik ip";S;;T;N
"Last click data 1";"Sidste klik data 1";S;;T;N
"Last click data 2";"Sidste klik data 2";S;;T;N
"Extra data 1";"Extra data 1";B;;N;N
"Extra data 2";"Extra data 2";B;;N;N
"Extra data 3";"Extra data 3";S;;N;N
"Extra data 4";"Extra data 4";S;;N;N
"Extra data 5";"Extra data 5";S;;N;N
"Merchant note";"Annoncør bemærkning";B;;T;N
"Banner name";"Banner navn";S;merchant;T;N
"Banner preview";"Banner visning";S;merchant;T;N
"Campaign";"Kampagne";B;;T;N
"Target URL";"Mål URL";B;;T;N
"Banner type";"Banner type";S;;N;N
"Html data is not defined";"Html data er ikke defineret";S;;T;N
"File name is not defined";"Fil navn er ikke defineret";S;;T;N
"unknown";"Ukendt";B;;T;N
"approved";"godkendt";B;;T;N
"pending";"Afventer";B;;T;N
"User Id";"Bruger Id";S;;T;N
"Payment date";"Betalingsdato";S;;T;N
"Username";"Brugernavn";B;;T;N
"Amount";"Beløb";B;;T;N
"Note to affiliate";"Bemærk til affiliate";S;;T;N
"Original currency ID";"Original valuta ID";S;;T;N
"Original currency rate";"Original valuta kurs";S;;T;N
"Original currency value";"Original valuta værdi";S;;T;N
"System note";"System bemærkning";B;;T;N
"Country code";"Lande kode";S;;T;N
"Affiliate first name";"Affiliate fornavn";S;;T;N
"Affiliate last name";"Affiliate efternavn";S;;T;N
"3rd party cookie";"3rd party cookie";B;;N;N
"1st party cookie";"1st party cookie";B;;N;N
"Flash cookie";"Flash cookie";B;;N;N
"Forced parameter";"Krævede parametre";B;;T;N
"IP address";"IP adresse";B;;T;N
"Default affiliate";"Standard affiliate";B;;T;N
"Url";"URL";B;;N;N
"Note";"Bemærk";B;;T;N
"Status does not have allowed value";"Status har ikke en tilladt værdi";S;;T;N
"Selected username already exists";"Valgte brugernavn eksisterer allerede";S;;T;N
"Failed to change status for %s user(s)";"Kunne ikke ændre status for %s bruger(e)";S;;T;N
"Status successfully changed for %s user(s)";"Status succesfuldt ændret for %s brugere";S;;T;N
"Password";"Password";B;;N;N
"Title must be unique";"Titel skal være unik";S;affiliate;T;N
"Selected parent affiliate does not exist";"Valgte forælder affiliate eksisterer ikke";S;;T;N
"Failed loading file %s with error: %s";"Fejl ved indlæsning af fil %s med fejlbesked: %s";S;;T;N
"Merchant - New User Signup";"Annoncør - Ny brugerregistrering";B;merchant;T;N
"New user signed up";"Ny bruger har registreret sig";B;merchant;T;N
"Email subject";"Email emne";S;merchant;T;N
"Email text";"Email brødtekst";S;merchant;T;N
"Merchant - Affiliate filled Contact us form";"Annoncør - Affiliate udfyldt kontakt os form";B;merchant;T;N
"Affiliate filled Contact us form";"Affiliate udfyldt kontak os form";B;merchant;T;N
